"ID","ID_Materialu","ID_Zlecenia","ID_Operatora","TypTransakcji","Ilosc","Timestamp","Notatka"
"1172","1","1032","","ZwrotRezerwy","1","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1173","38","1032","","ZwrotRezerwy","0","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1174","49","1032","","ZwrotRezerwy","19","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1175","27","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1176","50","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1177","51","1032","","ZwrotRezerwy","6","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1178","52","1032","","ZwrotRezerwy","9","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1179","48","1032","","ZwrotRezerwy","4","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1180","53","1032","","ZwrotRezerwy","3","28.08.2026 14:43:31","Zwolnienie rezerwy po usunięciu zlecenia 1032"
"1181","1","1033","","Rezerwacja","-3","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1182","38","1033","","Rezerwacja","0","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1183","49","1033","","Rezerwacja","-57","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1184","27","1033","","Rezerwacja","-18","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1185","50","1033","","Rezerwacja","-18","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1186","51","1033","","Rezerwacja","-18","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1187","52","1033","","Rezerwacja","-27","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1188","48","1033","","Rezerwacja","-12","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1189","53","1033","","Rezerwacja","-9","28.08.2026 14:43:41","Rezerwacja dla zlecenia 1033"
"1190","1","1033","","ZwrotRezerwy","3","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1191","38","1033","","ZwrotRezerwy","0","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1192","49","1033","","ZwrotRezerwy","57","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1193","27","1033","","ZwrotRezerwy","18","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1194","50","1033","","ZwrotRezerwy","18","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1195","51","1033","","ZwrotRezerwy","18","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1196","52","1033","","ZwrotRezerwy","27","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1197","48","1033","","ZwrotRezerwy","12","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1198","53","1033","","ZwrotRezerwy","9","28.08.2026 14:44:13","Zwolnienie rezerwy po usunięciu zlecenia 1033"
"1199","1","1","","Rezerwacja","-3","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1200","38","1","","Rezerwacja","0","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1201","49","1","","Rezerwacja","-57","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1202","27","1","","Rezerwacja","-18","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1203","50","1","","Rezerwacja","-18","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1204","51","1","","Rezerwacja","-18","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1205","52","1","","Rezerwacja","-27","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1206","48","1","","Rezerwacja","-12","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1207","53","1","","Rezerwacja","-9","28.08.2026 14:44:21","Rezerwacja dla zlecenia 1"
"1208","1","1","","ZwrotRezerwy","3","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1209","38","1","","ZwrotRezerwy","0","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1210","49","1","","ZwrotRezerwy","57","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1211","27","1","","ZwrotRezerwy","18","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1212","50","1","","ZwrotRezerwy","18","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1213","51","1","","ZwrotRezerwy","18","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1214","52","1","","ZwrotRezerwy","27","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1215","48","1","","ZwrotRezerwy","12","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1216","53","1","","ZwrotRezerwy","9","28.08.2026 14:55:14","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1217","1","1","","Rezerwacja","-3","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1218","38","1","","Rezerwacja","0","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1219","49","1","","Rezerwacja","-57","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1220","27","1","","Rezerwacja","-18","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1221","50","1","","Rezerwacja","-18","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1222","51","1","","Rezerwacja","-18","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1223","52","1","","Rezerwacja","-27","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1224","48","1","","Rezerwacja","-12","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1225","53","1","","Rezerwacja","-9","28.08.2026 15:56:11","Rezerwacja dla zlecenia 1"
"1226","1","2","","Rezerwacja","-2","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1227","38","2","","Rezerwacja","0","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1228","49","2","","Rezerwacja","-16","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1229","27","2","","Rezerwacja","-12","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1230","50","2","","Rezerwacja","-16","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1231","51","2","","Rezerwacja","-18","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1232","52","2","","Rezerwacja","-14","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1233","48","2","","Rezerwacja","-14","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1234","53","2","","Rezerwacja","-6","28.08.2026 16:47:02","Rezerwacja dla zlecenia 2"
"1235","1","2","","ZwrotRezerwy","2","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1236","38","2","","ZwrotRezerwy","0","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1237","49","2","","ZwrotRezerwy","16","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1238","27","2","","ZwrotRezerwy","12","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1239","50","2","","ZwrotRezerwy","16","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1240","51","2","","ZwrotRezerwy","18","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1241","52","2","","ZwrotRezerwy","14","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1242","48","2","","ZwrotRezerwy","14","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1243","53","2","","ZwrotRezerwy","6","28.08.2026 18:18:45","Zwolnienie rezerwy po usunięciu zlecenia 2"
"1244","1","1","","ZwrotRezerwy","3","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1245","38","1","","ZwrotRezerwy","0","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1246","49","1","","ZwrotRezerwy","57","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1247","27","1","","ZwrotRezerwy","18","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1248","50","1","","ZwrotRezerwy","18","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1249","51","1","","ZwrotRezerwy","18","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1250","52","1","","ZwrotRezerwy","27","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1251","48","1","","ZwrotRezerwy","12","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"1252","53","1","","ZwrotRezerwy","9","28.08.2026 18:18:47","Zwolnienie rezerwy po usunięciu zlecenia 1"
"2146","1","1","","Rezerwacja","-3","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2147","38","1","","Rezerwacja","0","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2148","49","1","","Rezerwacja","-57","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2149","27","1","","Rezerwacja","-18","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2150","50","1","","Rezerwacja","-18","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2151","51","1","","Rezerwacja","-18","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2152","52","1","","Rezerwacja","-27","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2153","48","1","","Rezerwacja","-12","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2154","53","1","","Rezerwacja","-9","28.08.2026 20:19:06","Rezerwacja dla zlecenia 1"
"2155","1","1","","Zuzycie","-1","28.08.2026 20:20:56","Zużycie na stanowisku 1"
"2156","38","1","","Zuzycie","0","28.08.2026 20:20:56","Zużycie na stanowisku 1"
